
ID,Set,Word,Meaning,Sentence,Translation,
1,set1,angry,형. 화난,Are you angry?,너 화났니?,
2,set1,badminton,명. 배드민턴,His favorite sport is badminton.,그가 가장 좋아하는 운동은 배드민턴이다.,
3,set1,Band-Aid,명. 반창고,Put a Band-Aid on your face.,얼굴에 밴드를 붙여라.,
4,set1,baseball,명. 야구,My favorite sport is baseball.,내가 가장 좋아하는 운동은 야구다.,
5,set1,basketball,명. 농구,Do you like basketball?,너는 농구를 좋아하니?,
6,set1,classmate,명. 반 친구,My classmates are kind.,내 반 친구들은 친절하다.,
7,set1,comedy,"명. 코미디, 희극",This comedy show is really popular.,이 코미디 쇼는 정말 인기가 많다.,
8,set1,erase,동. 지우다,Erase the wrong answer and try again.,틀린 답을 지우고 다시 해봐라.,
9,set1,eraser,명. 지우개,Does she have an eraser?,그녀는 지우개를 가지고 있니?,
10,set1,favorite,형. 가장 좋아하는,What's your favorite food?,네가 가장 좋아하는 음식은 무엇이니?,
11,set1,hit,동. (버튼 등을) 누르다,"Please hit the ""like"" button!",“좋아요” 버튼을 눌러 주세요.,
12,set1,hurt,"형. 다친, 상처 입은",My feelings get hurt sometimes.,나는 가끔 마음이 상한다.,
13,set1,learn,동. 배우다,What subjects do we learn?,우리는 어떤 과목을 배우니?,
14,set1,lunchtime,명. 점심시간,I love lunchtime.,나는 점심시간이 좋다.,
15,set2,magician,명. 마법사,"We wear all black, like magicians!",우리는 마술사처럼 온통 검은색을 입는다.,
16,set2,mirror,명. 거울,The girl looks in the mirror every day.,그 소녀는 매일 거울을 본다.,
17,set2,mistake,명. 실수,Anyone can make a mistake.,누구나 실수할 수 있다.,
18,set2,nervous,"형. 긴장한, 불안해하는",I feel nervous before every exam.,나는 시험 전에 항상 긴장한다.,
19,set2,remember,동. 기억하다,I can’t remember his name.,나는 그의 이름이 기억나지 않는다.,
20,set2,same,형. 같은,Do we all go to the same school?,우리는 모두 같은 학교에 다니니?,
21,set2,smile,"명. 미소, 웃음",My friend has a great smile.,내 친구는 웃는 모습이 아주 좋다.,
22,set2,sticky note,"명. 붙임쪽지, 접착식 메모지",I write her phone number on a sticky note.,나는 그녀의 전화번호를 포스트잇에 적는다.,
23,set2,subject,명. 과목,What's your favorite subject?,네가 가장 좋아하는 과목은 무엇이니?,
24,set2,tightly,"부 꽉, 단단히",My grandfather holds my hand tightly.,할아버지는 내 손을 꼭 잡으신다.,
25,set2,twin,형. 쌍둥이의 / 명. 쌍둥이,This is my twin brother Hajun.,이 사람은 내 쌍둥이 형(동생) 하준이다.,
26,set2,uniform,"명. 제복, 유니폼",This is our uniform.,이것은 우리 교복이다.,
27,set2,video,명. 동영상,My videos are all about K-food.,내 영상들은 모두 한국 음식에 관한 것이다.,
28,set2,P.E.,명. 체육,My favorite subject is P.E.,내가 가장 좋아하는 과목은 체육이다.,
29,set2,get hurt,"다치다, 상처 받다",Children often get hurt.,아이들은 자주 다친다.,
30,set3,go away,사라지다,I walk. Then my sad feelings go away.,나는 걷는다. 그러면 슬픈 기분이 사라진다.,
31,set3,survival kit,"생존 키트, 비상용품 세트",You should have a survival kit in your house.,집에 비상 생존 키트를 두는 것이 좋다.,
32,set3,amazing,형. 놀라운,What an amazing story!,정말 놀라운 이야기다!,
33,set3,backpack,"명. 배낭, 책가방",He buys a new backpack.,그는 새 배낭을 산다.,
34,set3,bedtime,명. 취침 시간,My child’s bedtime is ten o’clock.,우리 아이의 취침 시간은 10시다.,
35,set3,both,대. 둘 다,We both like dogs.,우리는 둘 다 개를 좋아한다.,
36,set3,coin,명. 동전,Mr. Brown gives a coin to the boy.,브라운 씨는 그 소년에게 동전을 준다.,
37,set3,comic,명. 만화책 / 형. 웃기는,Sam reads the comics in the newspaper every day.,샘은 매일 신문 만화를 읽는다.,
38,set3,cute,형. 귀여운,It's so cute.,정말 귀엽다.,
39,set3,different,형. 다른,Each car is a different color.,각 자동차는 서로 다른 색이다.,
